dc:title,dc:description,dc:creator,dc:type,dc:rights,dc:format,dcterms:created
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Dick Johnson, Architect, Chicago.","Portraits of young man, whole-length, half-length and head and shoulders.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1961-05
Mixed actresses.,"Young woman, head and shoulders, with heavy fringe, wearing jacket with high collar.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
Jesus in the Dump.,"Plaster statue of Jesus, the size usually found in churches, head and body with exposed heart surrounded by flame, arms broken off. Stacked rubbish around including cupboards old mattresses, barrels.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1950/1959
St. Kilda beach at sunset.,"Looking from shadowed rocks and shoreline towards people wading in the shallows, silhouetted against the setting sun.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Chris Hazelwood (Rob and Justine).,"Includes portraits of  young woman with long hair, young children playing, woman with long hair with small child, man with beard","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1968-08
"3AW Christmas Party, South Cross Plaza.","Children gathered in the plaza of the South Cross Hotel, Melbourne, two women holding a banner reading: 3AW Christmas Party. Includes images of larger crowd of children and adults watching a puppet show.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
Wedding of Vivian Jarny [or Garny?].,"Includes bride and groom, attendants and guests at the wedding.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Heather Heathcote, Klempke Advertising.","Head and shoulders, whole-length and half-length portraits of Heather Heathcote.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1979-07
Chris Hazelwood (Rob and Justine).,"Includes portraits of  young woman with long hair, young children playing, woman with long hair with small child, man with beard","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1968-08
"'Silence' by Harold Pinter, directed by Mark Stratford, at Budinski's, Fitzroy.","Shows three actors on a darkened stage, lit by spotlight, man seated in left foreground with hands clasped, man and woman in background looking out towards the audience.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
"Performance with maritime theme at La Mama, directed by Wendy Joseph.",Includes other images of same actors in different positions on the stage.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
"Family group on a crowded beach, possibly at St. Kilda.",Shows a crowded beach with people swimming and children playing in the sand.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1979
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Margaret Berger, mother of photographer Maggie Diaz.","Shows Margaret Berger, half-length, sitting in an arm chair.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1959-12
"Performance with maritime theme at La Mama, directed by Wendy Joseph.",Includes other images of same actors in different positions on the stage.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Family group on a crowded beach, possibly at St. Kilda.",Shows a crowded beach with people swimming and children playing in the sand.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1979
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Woman posed in dance position ; Images of a woman posing for an advertisement for women's underwear.,"Unidentified woman wearing leotards, seated on floor with right leg extended, looking down, holding an open fan;  Includes two images of a woman posing for a brassiere commercial, standing, to right, with right arm raised.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
"Lower North Centre event, Chicago.","Images appear to be a school function including dancing, sports events, gymnastics and buffet food, parents and teachers.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
Family portraits.,"Includes a woman wearing a navy blue scarf, small girl with blue dress, family group walking through gardens.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Chris Hazelwood (Rob and Justine).,"Includes portraits of  young woman with long hair, young children playing, woman with long hair with small child, man with beard","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1968-08
Phillip Colbran.,"Young man, head and shoulders, wearing a red striped jumper.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1989
"Mixed portraits, of friends of photographer.","Woman, possibly named Dahlia, and a man, looking out from a window.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Portraits of the actors and scenes from Endgame at the Malthouse Theatre.,"Includes further portrait photographs of the actors and scenes from the performance on stage. Subjects not identified, but actors included Simon MacGuiness and Gwen De Lacy; Mime Angelo.  Directed by David Vadivaloo.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1991-02
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Alison Richards in 'Elegant', La Mama, Carlton.","Cane laundry basket on a covered table, a woman appearing to be curled into the basket with her head and legs appearing over the top.  Images also include a woman on standing on stage. Includes other images of same actors in different positions on the stage.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
"The Hooded Terror, or, Maggie the Witch.","Three-quarter length, to right, wearing a hooded coat, seated sideways on a kitchen chair, right elbow resting on chair back, right hand to cheek. Kitchen stove, cabinets and door in background. Includes other images of Maggie Diaz in hood, one standing near the stove.","Fraser, Clem, (Clement), photographer.",StillImage,This work is in copyright.,TIFF,1955/1961
Phillip Colbran.,"Boy, half-length, wearing a navy blue jacket and tie.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1989
Grants Whisky.,"Advertising images for Grants Whisky, including a bottle placed beside a cowboy boot with spurs, empty bottles beside a rubbish bin, a man walking away with several empty bottles, whisky bottles placed into cardboard boxes.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1963-05
